Latitude,Longitude,Elevation (m)
13.23464,80.27813,6.0
13.23461,80.27804,6.0
13.234580000000001,80.27795,6.0
13.23455,80.27786,6.0
13.23455,80.27786,6.0
13.234494999999999,80.277775,6.0
13.23444,80.27769,6.0
13.23444,80.27769,6.0
13.234335,80.277605,6.0
13.23423,80.27752,6.0
13.23423,80.27752,6.0
13.234145,80.277465,6.0
13.23406,80.27741,6.0
13.23406,80.27741,6.0
13.233944999999999,80.277365,6.0
13.23383,80.27732,6.0
13.23383,80.27732,6.0
13.233709999999999,80.277305,6.0
13.23359,80.27729,6.0
13.23359,80.27729,6.0
13.233493333333334,80.27729333333333,6.0
13.233396666666666,80.27729666666666,6.0
13.2333,80.2773,6.0
13.2333,80.2773,6.0
13.233175,80.277345,6.0
13.23305,80.27739,6.0
13.23305,80.27739,6.0
13.232945,80.27745,6.0
13.23284,80.27751,6.0
13.23284,80.27751,6.0
13.23275,80.27759,6.0
13.23266,80.27767,6.0
13.23266,80.27767,6.0
13.232605,80.277755,6.0
13.23255,80.27784,6.0
13.23255,80.27784,6.0
13.23253,80.27795,6.0
13.23251,80.27806,6.0
13.23249,80.27817,6.0
13.23249,80.27817,6.0
13.232478,80.278268,6.0
13.232466,80.278366,6.0
13.232454,80.278464,6.0
13.232442,80.27856200000001,6.0
13.23243,80.27866,6.0
13.23243,80.27866,6.0
13.232420454545455,80.278755,6.0
13.232410909090909,80.27885,6.0
13.232401363636365,80.27894500000001,6.0
13.232391818181819,80.27904,6.0
13.232382272727273,80.279135,6.0
13.232372727272727,80.27923,5.0
13.232363181818183,80.279325,5.0
13.232353636363637,80.27942,5.0
13.232344090909091,80.279515,5.0
13.232334545454545,80.27961,5.0
13.232325,80.279705,5.0
13.232315454545455,80.2798,5.0
13.23230590909091,80.279895,5.0
13.232296363636364,80.27999,5.0
13.232286818181818,80.280085,5.0
13.232277272727273,80.28018,5.0
13.232267727272728,80.280275,5.0
13.232258181818182,80.28037,5.0
13.232248636363636,80.28046499999999,5.0
13.232239090909092,80.28056,5.0
13.232229545454546,80.280655,5.0
13.23222,80.28075,5.0
13.23222,80.28075,5.0
13.232205714285714,80.28085142857142,5.0
13.23219142857143,80.28095285714285,5.0
13.232177142857143,80.28105428571428,5.0
13.232162857142857,80.28115571428572,5.0
13.23214857142857,80.28125714285714,7.0
13.232134285714286,80.28135857142857,7.0
13.23212,80.28146,7.0
13.23212,80.28146,7.0
13.23211,80.28156,7.0
13.232099999999999,80.28166,7.0
13.23209,80.28176,7.0
13.23209,80.28176,7.0
13.23211,80.28193,7.0
13.23211,80.28193,7.0
13.23216,80.28209,7.0
13.23216,80.28209,7.0
13.23224,80.28222,7.0
13.23224,80.28222,7.0
13.23234,80.28232,7.0
13.23234,80.28232,7.0
13.23247,80.28244,7.0
13.23247,80.28244,7.0
13.232573333333333,80.28249333333333,7.0
13.232676666666666,80.28254666666666,7.0
13.23278,80.2826,7.0
13.23278,80.2826,7.0
13.2329,80.28265,7.0
13.2329,80.28265,7.0
13.233005,80.28265999999999,7.0
13.23311,80.28267,7.0
13.23311,80.28267,7.0
13.23323,80.28265999999999,7.0
13.23335,80.28265,6.0
13.23347,80.28264,6.0
13.23347,80.28264,6.0
13.233565,80.282605,6.0
13.23366,80.28257,6.0
13.23366,80.28257,6.0
13.233755,80.282505,6.0
13.23385,80.28244,6.0
13.23385,80.28244,6.0
13.233934999999999,80.28236,6.0
13.23402,80.28228,6.0
13.23402,80.28228,6.0
13.2341,80.28214,6.0
13.2341,80.28214,6.0
13.234126666666667,80.28202999999999,6.0
13.234153333333333,80.28192,6.0
13.23418,80.28181,6.0
13.23418,80.28181,6.0
13.234194166666667,80.28171166666667,6.0
13.234208333333333,80.28161333333333,6.0
13.2342225,80.281515,6.0
13.234236666666666,80.28141666666666,6.0
13.234250833333332,80.28131833333333,6.0
13.234265,80.28121999999999,4.0
13.234279166666667,80.28112166666666,4.0
13.234293333333333,80.28102333333334,4.0
13.2343075,80.280925,4.0
13.234321666666666,80.28082666666667,4.0
13.234335833333333,80.28072833333333,4.0
13.23435,80.28063,4.0
13.23435,80.28063,4.0
13.234360833333332,80.28053750000001,4.0
13.234371666666666,80.280445,4.0
13.234382499999999,80.2803525,4.0
13.234393333333333,80.28026,4.0
13.234404166666666,80.2801675,4.0
13.234414999999998,80.28007500000001,4.0
13.234425833333333,80.2799825,4.0
13.234436666666666,80.27989000000001,4.0
13.2344475,80.2797975,4.0
13.234458333333333,80.279705,4.0
13.234469166666667,80.2796125,4.0
13.23448,80.27952,4.0
13.23448,80.27952,4.0
13.234492142857142,80.27942285714286,4.0
13.234504285714285,80.27932571428572,4.0
13.234516428571428,80.27922857142858,4.0
13.234528571428571,80.27913142857143,6.0
13.234540714285714,80.27903428571429,6.0
13.234552857142857,80.27893714285715,6.0
13.234565,80.27884,6.0
13.234577142857143,80.27874285714286,6.0
13.234589285714286,80.27864571428572,6.0
13.234601428571429,80.27854857142857,6.0
13.234613571428572,80.27845142857143,6.0
13.234625714285714,80.27835428571429,6.0
13.234637857142857,80.27825714285714,6.0
13.23465,80.27816,6.0
