time,ghi,wind_speed,wind_direction
08:00:00,301,7.6,4.1887902047863905
08:05:00,317,7.7,4.1887902047863905
08:10:00,332,7.7,4.1887902047863905
08:15:00,347,7.7,4.2062434973063345
08:20:00,363,7.7,4.2062434973063345
08:25:00,378,7.8,4.2062434973063345
08:30:00,393,7.8,4.223696789826278
08:35:00,407,7.8,4.223696789826278
08:40:00,418,7.8,4.2062434973063345
08:45:00,429,7.8,4.2062434973063345
08:50:00,440,7.8,4.2062434973063345
08:55:00,450,7.8,4.2062434973063345
09:00:00,460,7.8,4.2062434973063345
09:05:00,470,7.8,4.1887902047863905
09:10:00,480,7.8,4.1887902047863905
09:15:00,490,7.8,4.1887902047863905
09:20:00,500,7.8,4.1887902047863905
09:25:00,509,7.8,4.171336912266447
09:30:00,518,7.8,4.171336912266447
09:35:00,527,7.8,4.171336912266447
09:40:00,537,7.8,4.1887902047863905
09:45:00,547,7.8,4.1887902047863905
09:50:00,557,7.7,4.1887902047863905
09:55:00,566,7.7,4.1887902047863905
10:00:00,575,7.7,4.2062434973063345
10:05:00,583,7.7,4.2062434973063345
10:10:00,591,7.6,4.2062434973063345
10:15:00,599,7.6,4.2062434973063345
10:20:00,607,7.6,4.223696789826278
10:25:00,614,7.6,4.223696789826278
10:30:00,621,7.6,4.223696789826278
10:35:00,627,7.6,4.223696789826278
10:40:00,632,7.7,4.223696789826278
10:45:00,636,7.8,4.2062434973063345
10:50:00,640,7.9,4.2062434973063345
10:55:00,643,8.0,4.1887902047863905
11:00:00,647,8.1,4.1887902047863905
11:05:00,650,8.2,4.171336912266447
11:10:00,652,8.3,4.171336912266447
11:15:00,654,8.4,4.153883619746504
11:20:00,656,8.6,4.153883619746504
11:25:00,657,8.7,4.153883619746504
11:30:00,659,8.8,4.136430327226561
11:35:00,659,8.8,4.136430327226561
11:40:00,658,8.9,4.118977034706618
11:45:00,658,8.9,4.118977034706618
11:50:00,656,8.9,4.118977034706618
11:55:00,655,9.0,4.101523742186674
12:00:00,653,9.0,4.101523742186674
12:05:00,651,9.1,4.101523742186674
12:10:00,648,9.1,4.084070449666731
12:15:00,645,9.1,4.084070449666731
12:20:00,642,9.2,4.084070449666731
12:25:00,638,9.2,4.066617157146788
12:30:00,634,9.3,4.066617157146788
12:35:00,628,9.2,4.066617157146788
12:40:00,621,9.2,4.066617157146788
12:45:00,613,9.1,4.066617157146788
12:50:00,605,9.0,4.066617157146788
12:55:00,597,9.0,4.066617157146788
13:00:00,588,8.9,4.066617157146788
13:05:00,579,8.8,4.066617157146788
13:10:00,570,8.8,4.049163864626845
13:15:00,561,8.7,4.049163864626845
13:20:00,552,8.6,4.049163864626845
13:25:00,542,8.6,4.049163864626845
13:30:00,533,8.5,4.049163864626845
13:35:00,525,8.5,4.049163864626845
13:40:00,519,8.5,4.031710572106901
13:45:00,513,8.6,4.014257279586958
13:50:00,507,8.6,3.9968039870670147
13:55:00,501,8.7,3.9968039870670147
14:00:00,494,8.7,3.9793506945470716
14:05:00,487,8.8,3.961897402027128
14:10:00,480,8.8,3.944444109507185
14:15:00,473,8.9,3.944444109507185
14:20:00,465,8.9,3.9269908169872414
14:25:00,458,9.0,3.9095375244672983
14:30:00,450,9.0,3.9095375244672983
14:35:00,443,9.0,3.8920842319473548
14:40:00,436,9.0,3.9095375244672983
14:45:00,430,8.9,3.9095375244672983
14:50:00,423,8.9,3.9095375244672983
14:55:00,416,8.8,3.9269908169872414
15:00:00,409,8.8,3.9269908169872414
15:05:00,401,8.7,3.9269908169872414
15:10:00,394,8.7,3.9269908169872414
15:15:00,386,8.7,3.944444109507185
15:20:00,378,8.6,3.944444109507185
15:25:00,370,8.6,3.944444109507185
15:30:00,361,8.5,3.961897402027128
15:35:00,353,8.4,3.961897402027128
15:40:00,344,8.2,3.961897402027128
15:45:00,334,8.0,3.944444109507185
15:50:00,325,7.8,3.944444109507185
15:55:00,315,7.7,3.944444109507185
16:00:00,305,7.5,3.9269908169872414
16:05:00,295,7.3,3.9269908169872414
16:10:00,285,7.1,3.9269908169872414
16:15:00,275,6.9,3.9095375244672983
16:20:00,265,6.8,3.9095375244672983
16:25:00,254,6.6,3.9095375244672983
16:30:00,243,6.4,3.8920842319473548
16:35:00,233,6.3,3.8746309394274117
16:40:00,223,6.3,3.857177646907468
16:45:00,213,6.3,3.839724354387525
16:50:00,202,6.4,3.822271061867582
16:55:00,192,6.4,3.8048177693476384
17:00:00,182,6.4,3.7873644768276953
17:05:00,171,6.5,3.7699111843077517
17:10:00,160,6.5,3.735004599267865
17:15:00,149,6.5,3.717551306747922
17:20:00,139,6.6,3.7000980142279785
17:25:00,128,6.6,3.6826447217080354
17:30:00,117,6.7,3.6651914291880923
17:35:00,103,6.7,3.6477381366681487
17:40:00,89,6.6,3.6477381366681487
17:45:00,76,6.6,3.6302848441482056
17:50:00,64,6.6,3.6302848441482056
17:55:00,52,6.6,3.612831551628262
18:00:00,42,6.6,3.612831551628262
